2010 Asian Alone Population by Asian group, age, gender and immigration status, wgtd 2008-12 ACS, SSDAN/U-Mich
4
Asian,Immentry,Gender,AgeAll
7,5,2,8
Chinese,Japanese,Filipino,Korean,Indian,Vietnamese,Other
Native,FB<1980,FB80-89,FB90-99,FB00-08
Male,Female
0-4,5-14,15-24,25-34,35-44,45-54,55-64,65+
77471,147429,128583,74050,40528,29990,24917,18573, 
71804,147215,124029,68933,36782,28910,24482,20221, 
0,0,0,3401,19773,37032,56638,65159, 
0,0,0,2587,19667,38124,65571,77019, 
0,0,3048,27685,49986,78572,50591,37096, 
0,0,2477,24826,47615,91160,54700,44540, 
0,2913,26915,48893,80371,67751,32960,28519, 
0,14389,29846,52265,106022,79512,40215,35767, 
5334,27194,94558,89470,57891,40392,23755,23993, 
13541,55867,89243,123619,89473,53081,31128,28905, 
8752,18046,21906,22135,26385,41600,35677,51122, 
7995,17283,22332,22533,26715,42037,36261,64618, 
0,0,0,283,1994,2551,7108,6955, 
0,0,0,488,2102,4365,14957,45181, 
0,0,431,2050,2030,4797,3765,1356, 
0,0,661,2313,3311,10170,5859,3155, 
0,464,1609,2720,5312,4145,1680,620, 
0,399,2387,5209,17925,11152,2206,1633, 
1979,6373,6912,11890,15783,6090,2273,672, 
2537,5422,10000,23317,24043,6113,1737,1228, 
55376,112566,103965,79689,47387,27401,15240,10609, 
52418,106283,99050,73335,45313,25447,16811,12354, 
0,0,0,1648,20787,28699,42091,54094, 
0,0,0,1954,20194,33177,71038,80630, 
0,0,2275,21359,33611,44449,31986,19823, 
0,0,2700,21532,40093,80638,48932,38455, 
0,1981,21305,37206,38423,33828,20682,17630, 
0,1844,17713,39095,69637,57927,29726,30651, 
3612,30178,39796,36990,43250,25624,18505,14977, 
3089,28945,39771,76046,81802,40422,31489,26786, 
29956,50324,52944,32991,13552,5396,3244,3640, 
28652,46394,52778,32945,13440,5662,3458,5214, 
0,0,0,2625,19529,16212,16764,29195, 
0,0,0,5947,26030,23405,42176,44891, 
0,0,6169,18928,20853,26632,18851,15014, 
0,0,8351,27896,23774,44722,25267,21167, 
0,4919,16089,19007,26033,18766,11282,7500, 
0,4561,16100,20188,37507,29237,13006,10201, 
5492,24696,34186,32251,33141,18932,6249,4551, 
4673,21381,36797,46794,44674,23130,7627,7801, 
107200,145879,80700,48519,18033,5127,3252,2161, 
105056,142136,75730,43868,15420,5567,3004,2289, 
0,0,0,2497,13946,15077,38665,44372, 
0,0,0,2712,12458,15324,39537,28674, 
0,0,3081,17531,26849,63051,34166,16830, 
0,0,2775,17623,26738,51455,27014,18108, 
0,5523,26518,51521,125184,53099,21278,15658, 
0,6625,26029,47595,106701,42461,21520,17925, 
12086,37350,64382,223007,93582,30261,20688,15722, 
12790,32853,52355,224583,75023,32191,21345,18536, 
48495,100503,67675,32981,7622,3165,1986,1374, 
45086,93394,65324,30535,6956,2880,2189,1787, 
0,0,0,2999,21344,26178,21718,15696, 
0,0,0,3134,20919,20933,24045,17873, 
0,0,1555,19063,45018,45438,22297,14794, 
0,0,2054,16697,32464,32259,23017,15042, 
0,2713,18117,33570,57435,22819,21612,26706, 
0,2656,16409,35008,66131,32007,33177,29374, 
2503,13656,23356,15998,18721,14217,8349,4752, 
2427,12190,26535,39904,33798,19360,11206,6317, 
103863,176433,155232,85806,42106,32338,19002,13436, 
98772,167085,149860,85024,41902,32007,20791,15983, 
0,0,0,4987,15315,19000,24995,17092, 
0,0,0,4703,15999,18555,29390,20329, 
0,0,4653,33727,47754,56065,30253,15313, 
0,0,4962,35180,42454,51989,28442,19654, 
0,3184,25424,34980,48069,30588,13981,7103, 
0,3816,22801,34353,52679,31432,15053,9852, 
8100,35382,52760,62849,39311,20895,12519,7424, 
7060,32056,51143,86339,52884,25141,14893,9562
*****
