2010 Education and immigration status for Hispanics groups, age 25-34, wgtd 2008-12 ACS, SSDAN/U-Mich
4
Hispanic,Immentry,Gender,EducAll
6,5,2,7
Mexican,PRican,Cuban,CAmeric,SAmeric,Other
Native,FB<1980,FB80-89,FB90-99,FB00-current
Male,Female
<9Yrs,10-12Yrs,HSGrad,SomeColl,CollGrad,Masters,PhD-Prof
85673,169129,441675,449869,133599,20588,8267,67424,124186,353722,512606,185860,45268,10862, 
3332,3700,7161,6755,1573,407,108,1720,3184,6294,8095,2449,748,103, 
29399,28699,56303,41473,10232,1246,528,21775,22688,49920,46717,12896,2746,622, 
285333,93830,183732,70939,16944,2192,975,204991,67682,136287,69002,16094,2293,777, 
341928,91663,228734,67788,25510,4785,2726,266633,64093,171950,57650,31387,4655,3414, 
25960,40751,120202,108692,37199,8376,4051,19833,35940,94806,132874,53548,16307,4484, 
47,0,119,49,66,0,0,0,18,0,80,29,0,0, 
31,43,188,234,72,17,37,39,218,175,270,145,78,25, 
512,262,513,478,191,20,20,262,146,487,399,111,17,0, 
566,238,736,463,146,43,18,277,218,637,555,179,0,84, 
2034,3219,14261,22702,14471,3027,2132,1122,1950,9049,22622,16808,5686,2687, 
72,15,128,290,94,39,0,22,15,23,136,98,74,0, 
188,836,2100,1824,1003,228,231,72,300,1828,1868,1154,219,69, 
936,1586,5681,3687,923,339,59,331,1152,4626,4751,1417,533,320, 
2705,2307,12668,6152,2454,311,584,1540,2754,12444,6788,3606,370,503, 
7335,10703,34926,44547,18811,3869,1881,5085,7548,22189,48420,27913,7726,1764, 
275,384,1128,1268,281,186,58,158,217,908,1094,634,392,67, 
6219,6850,18352,20542,7342,1379,460,4242,5630,15404,23310,10102,2839,422, 
55866,22056,44896,27519,8629,1681,601,37186,17927,34485,30823,10184,2171,320, 
134907,25146,69301,34796,12671,1822,1184,81514,16727,57317,33647,15284,2218,1996, 
2208,2494,13542,26780,17996,4900,1977,1538,1945,9308,22059,22564,6284,2585, 
77,154,601,1060,679,135,110,11,13,374,968,516,397,184, 
1203,1105,4808,7737,6087,1187,639,362,732,4435,9492,6294,1861,691, 
4493,4110,16196,17714,9085,2056,803,2918,3017,13532,20806,9383,2841,940, 
13254,5715,24308,23478,15364,6633,3638,9790,5473,23837,32550,27129,6953,4269, 
7118,13578,39998,49051,18547,3654,1345,5172,9243,30141,55745,22253,5781,1928, 
48,71,106,136,127,14,0,59,59,183,276,86,15,94, 
505,513,1095,1408,743,312,50,392,388,1277,1287,548,181,146, 
2553,1248,3420,2254,808,296,95,1780,1312,2911,2057,634,482,190, 
4030,1279,3452,2247,2589,2212,1088,2152,1037,3037,2934,2418,1352,1108 
*****
