2010 Full-time, year-round workers, age 16+, Connecticut, wgtd 2008-12 ACS, SSDAN/U-Mich
4
RaceEth,Gender,AgeWork,Earn
7,2,6,6
NHWhite, Black, Asian, Hispanic, AmIndian, NHOther, NHMulti
Male,Female
16-24,25-34,35-44,45-54,55-64,65+
<25K,25-34K,35-49K,50-69K,70-99K,100K+
8039,5283,4888,2696,486,25,6855,12722,20781,23099,13059,8522,4885,7365,18271,27360,28527,36635,6066,9407,21479,36186,36259,51474,6000,6902,14451,22880,23648,33278,2408,2722,3682,3696,3795,6812, 
7791,4241,4091,1161,254,28,7607,13354,20309,17369,7334,2784,6427,10412,16659,18301,15222,11908,11381,16443,23507,25916,22865,16721,7867,11572,18524,18318,15491,9680,2305,2545,3113,2275,1861,1319, 
1438,1177,230,77,82,0,1523,3005,3523,1896,714,271,2401,2497,3837,2932,2806,1137,1281,1760,3242,3252,2309,1070,710,1004,1756,1557,1121,498,332,302,365,262,153,33, 
1919,684,382,47,30,0,2614,3197,3188,1687,802,270,2696,2665,4254,3329,1702,827,1911,3316,3650,2893,2005,802,1178,1958,2447,1418,779,456,435,276,767,244,81,81, 
317,161,311,41,98,0,838,886,1244,2416,2438,1051,905,673,1625,1637,2198,3493,1061,492,1050,1000,704,2307,579,516,524,370,632,937,51,20,96,98,13,140, 
324,115,165,86,60,0,1150,639,1082,1447,1460,417,935,871,1610,884,1688,1483,768,1044,776,583,767,895,669,314,802,350,246,589,60,79,37,37,21,28, 
4690,1888,1206,42,0,0,6637,5178,5185,2939,1291,355,3623,4022,4308,3809,1885,1989,2919,2867,2816,2748,1681,2023,1310,1268,1077,1585,558,847,476,153,264,158,14,147, 
3000,1240,691,137,0,0,5621,3384,3177,1970,581,166,4653,3317,3013,2402,1495,607,4234,2190,1809,1778,869,639,1622,765,818,390,548,183,174,91,280,90,41,0, 
23,0,95,0,0,0,68,74,111,66,17,0,120,64,141,178,20,35,55,54,57,53,42,0,39,51,66,39,0,24,22,0,0,0,42,0, 
40,0,0,0,0,0,15,63,18,0,0,0,103,35,41,81,156,0,50,6,23,14,103,46,38,16,10,15,49,9,6,0,0,0,0,0, 
69,25,0,0,0,0,83,65,125,86,213,21,97,94,10,175,98,52,55,34,201,121,47,37,0,41,10,20,0,13,0,23,13,0,0,0, 
15,61,0,0,0,0,99,69,35,27,62,0,115,94,174,56,69,0,124,53,84,104,17,14,34,22,11,0,16,0,0,0,0,0,14,16, 
296,117,75,23,0,0,228,337,520,263,376,116,92,89,249,306,425,476,30,199,200,349,252,337,38,117,168,95,157,148,12,0,29,0,0,10, 
389,115,102,10,0,0,588,318,258,211,243,71,226,224,249,308,88,240,135,285,313,371,303,258,125,203,95,57,87,29,10,11,38,6,0,8 
*****
