2010 Full-time, year-round workers, age 16+, Florida, wgtd 2008-12 ACS, SSDAN/U-Mich
4
RaceEth,Gender,AgeWork,Earn
7,2,6,6
NHWhite, Black, Asian, Hispanic, AmIndian, NHOther, NHMulti
Male,Female
16-24,25-34,35-44,45-54,55-64,65+
<25K,25-34K,35-49K,50-69K,70-99K,100K+
61290,25020,13778,3721,958,536,68324,76526,92007,62340,31756,18265,48581,61007,97519,95074,71484,71406,59731,69424,107711,110559,84399,102967,48948,48161,69875,74004,55679,75153,19264,12902,13260,13205,10236,19517, 
56245,19062,8337,1916,393,56,69145,71195,81732,35454,13190,6466,62606,65467,87544,52700,31229,20202,83312,84245,103012,81884,45442,29661,61683,65669,74452,58610,33104,18495,18862,12911,12342,8130,3739,2748, 
22370,6704,2349,420,96,236,32223,27693,21766,9878,2992,1297,24228,24070,25318,17268,8174,4182,27645,20871,23529,16234,8741,4465,14589,10710,11302,8873,4461,2765,4122,2445,1591,1101,484,684, 
24722,5882,1884,571,71,127,37964,34112,23983,8312,2653,970,38919,29446,27572,13462,6966,2231,37608,27989,25195,14483,8138,2629,22468,14340,10778,7768,3750,1401,4172,2037,939,757,530,177, 
2116,506,312,231,127,17,5500,4053,4257,3339,3427,1777,5201,3453,4499,4603,5186,5573,5488,3753,3264,2593,2953,3689,3392,2204,2032,1805,1074,2274,922,420,413,286,305,516, 
1899,618,335,240,0,47,5302,3590,3969,2990,1170,744,6555,3409,3889,3909,3025,1432,7504,3714,3430,2756,2064,1577,3693,2226,1809,1442,1204,991,683,566,273,121,170,116, 
47652,11148,5261,1561,140,321,80041,46885,36449,18354,9327,5341,64604,42519,44015,31689,17626,16242,48685,33320,32998,25994,14999,16493,26613,16373,14543,11142,6515,8225,9483,4142,2943,2455,888,1971, 
31367,9484,3262,872,38,86,54517,35660,31142,11624,4830,1677,62412,30447,31211,18543,8629,5588,58079,26168,24958,16074,7961,6103,30050,13668,10792,7054,3444,2160,6014,2644,1340,1002,367,378, 
543,274,17,0,0,0,1411,476,352,20,30,20,846,618,596,337,173,160,494,449,586,404,360,243,340,230,402,275,76,128,91,48,58,75,0,0, 
215,79,0,0,0,0,595,294,155,139,88,36,414,398,454,217,156,27,802,460,411,156,199,22,286,294,221,152,111,32,74,57,36,43,0,0, 
360,280,0,0,43,0,522,559,478,445,113,0,435,430,397,419,340,235,278,99,580,306,241,187,327,40,274,105,45,88,74,9,48,10,0,0, 
455,53,45,0,0,0,566,578,465,186,174,14,431,258,438,271,101,99,245,257,352,289,49,12,195,126,195,230,91,6,15,0,0,15,0,0, 
1469,508,324,77,14,21,1924,1943,2213,1415,464,263,1529,1275,1627,1245,1133,758,974,1035,1575,1075,764,967,695,649,710,704,440,611,248,166,145,114,32,217, 
1901,571,320,118,31,0,2107,1926,1862,741,356,160,1619,1259,1284,1079,664,421,1404,1152,1451,926,713,245,1100,779,804,521,400,102,227,161,88,64,43,6 
*****
